espanol,quechua_texto
¿Tienes dificultad para caminar?,Puriyta sasachankichu?
Te falta el aire al caminar.,Purishaspa samayta chinkachkanki.
Mejorarás pronto con el tratamiento.,Hampiwanta utqay allinyanki.
Necesitas descansar más.,Munanki aswanta samayta
Regresa si el dolor continúa.,Nanay mana chinkaptinqa kutimunki.
"No te preocupes, sanarás.","Ama llakikuychu, allinyanki."
¿Tienes mucha sed?,Sinchitachu chaq'isunki?
¿No puedes orinar?,Mana hispayta atinkichu?
Orinas con dolor?,Hispaqtiki nanasunkichu?
El tratamiento terminó.,Allin hampiy tukupun.
Veo dolor,Nanayta rikuni
¿Dónde duele?,Maypi nanan?
¿Por qué duele?,Imanaktin nanan?
¿Desde cuándo duele?,Hayk’aqmantataq nanan?
¿Te duele la cabeza?,Umaykichu nanasunki?
¿Te duele el corazón?,Sonqoykichu nanasunki?
Tienes dolor de estómago,Wiksaykichu nanasunki?
Me duele la garganta,Kunkaymi nanashahuan
Tienes fiebre,Ruphaywan kanshanki
Estás con mucha fiebre,Nishuta rupashanki
¿Tienes escalofríos?,Chiriwan kachkanki?
Tengo Mareo,Sonqoymi muyuy
Tengo boca seca,simimi ch'akin
Bebe agua,Unuchata ojhaykuy
Bebe mas agua,Ashka unuchata ojhaykuy
Toma la medicina,Hampiquitay ojhaykuy
Toma dos veces al día,Iskay kutita ojhanayki
Toma tres veces,Kimsa kutita ojhanayki
Tómalo después de comer,Mikhuspaña ojhanayki
No lo tomes con comida,Mana mikhuspa ojhanayki
Descansa bien,Phuñumuy allinta
Descansa más,Astawan puñumuy
No te preocupes,Ama llank’aychu
Relajate,Samaykuy allinta
El dolor disminuirá,Pisiq'haña nanayki
Ya estás mejor,Allinllañ kachkanki
Aún no estás bien,Manaraq allinchu kachkanki
Análisis de sangre,Yawarnikita qawachisunchis
te voy hacer sacar tu sangre,Hurquychisanki yawarnikita hurquy
En tu sangre sale la enfermedad,Yawarnikipi honqoy llocsinq'ha
No es grave,Manan nishuchu onkoyniki
Enfermedad grave,Onkoyniyki nishuña kaskhan
ese medicamento te vas a comprar,Chay hampita rantiqunki
te vamos a poner Inyección,Mat’ita churamusayki
Toma la pastilla,Pastillata mikhuy
Toma el jarabe,Jarabita upyay
Tienes Inflamación estomacal,Wiksayki q’ipashan
¿Tienes Dolor fuerte?,Nishutachu nanamushasunki?
¿Tienes dolor leve?,Nanayki pisiñachu kachkan
No duele mucho,Manan nishuychu nananwan
Tu enfermedad esta avanzando,Unquyniki nishullapushan
Está mejorando,Onkoyniyki Thaniamushanña
Mejoró bastante,Allintañan Thanishanki
Tienes Enfermedad pulmonar,Q’asqomanta onqoyoshanki
Tienes Enfermedad cardíaca,Sonqokimanta onqoyoshanki
Tienes Enfermedad digestiva,Wiksaikimanta onqoyoshanki
Toma bebidas caliente,Ruphamatichata ojhanayki
Come verduras,Q’umichata mikhunayki
Esta es buena medicina,Kayqa allin hampi ma
¿Estas enfermo?,Unqusqachu kachkanki
Tengo dolor.,Nanaywan kani.
Tengo dolor de cabeza.,Uma nanaywan kani.
Me duele el diente.,Kiruy nanawan.
Me duele el estómago.,Wiksay nanawan.
Tengo dolor de garganta.,Kunka nanaywan kani.
Me duele el pie.,Chaki nanawan.
Me duele la mano.,Maki nanawan.
Tengo fiebre.,Ruphaywan kani.
Tengo frío.,Chiriywan kani.
Tengo tos.,Q'uchuywan kani.
Estoy con tos.,Q'uchuywan kani.
Tengo la nariz tapada.,Sinqay wichq'asqa kachkan.
Estoy sangrando.,Yawar lluqsishani.
Estoy cansado(a).,Qhayqosqa kani.
No me siento bien.,Manan allinchu kani.
Iré al médico.,Hampiqman risaq.
Necesito un médico.,Hampiqta munani.
Necesito tratamiento.,Hampiyta munani.
Traigo dinero.,Qullqiyta apamuni.
¿Tienes dinero?,Qullqiyuqchu kanki?
¿Dónde está el dolor?,Maypitaq nanay kachkan?
Aquí está el dolor.,Kaypi nanay kachkan.
¿Desde cuándo tienes dolor?,Hayk'aqmantataq nanaywan kanki?
Desde hoy.,Kunanmanta.
Desde ayer.,Qayna p'unchawmanta.
El médico está aquí.,Hampiq kaypi kachkan.
Toma tu medicina.,Hampiykita upyay.
Tómalo dos veces al día.,Iskay kuti p'unchawpi upyay.
Bebe agua.,Unuta upyay.
Descansa.,Samay.
Duerme bien.,Allinta puñuy.
No te preocupes.,Ama llakikuychu.
¿Cómo te llamas?,Imataq sutiyki?
¿Cuántos años tienes?,Hayk'a watayuq kanki?
Tengo 20 años.,Ñuqaqa iskay chunka watayuq kani.
¿Eres hombre o mujer?,Qharichu warmichu kanki?
Bienvenido(a).,Allin hamuy.
¿Hay tos?,Q'uchuy kachkanchu?
¿Hay fiebre?,Ruphay kachkanchu?
¿Hay dolor?,Nanay kachkanchu?
¿Estás bien?,Allillanchu kanki?
"Sí, estoy bien.","Arí, allillanmi kani."
No estoy bien.,Manan allillanchu kani.
¿Por qué vienes?,Imaraykutaq hamunki?
Vengo por dolor.,Nanayrayku hamuni.
Regresa después.,Qhipaman kutimuy.
Espera aquí.,Kaypi suyay.
Escucha al médico.,Hampiqta uyariy.
Queremos buena salud.,Allin kawsayta munanchik.
El tratamiento es bueno.,Hampiyqa allinmi.
¿Qué es lo que le molesta o por qué viene?,¿Iman nanasunqui imarayku hamunki?
¿Desde cuándo está enfermo?,¿Hayk'akmanta onq'oska kashanky?
¿Qué enfermedad tiene tu hijo?,¿Imamanta onq'oshan wawayki?
¿Le duele la espalda?,¿Wasayki nanan?
"¿Siente dolor al pasar la saliva o los alimentos, ardor o punza o le produce la tos?",¿Nananka hina mikunki tokaynikiwan pasakunki o sananasuykipak o sasawanchu o ujuchu qosonki?
¿Tiene dolor en el cuello?,¿Kunkayki nananchu?
¿Tiene tos por momentos o constante?,¿Uhunki pisitachu o nishutachu?
"¿Con la tos bota algo y de qué color, blanco, verde, amarillo, con sangre o totalmente con sangre?","¿Uhuspa imata thoqanki, ima colortan, yuractachu, q'omertachu, kellotachu o yawartachu?"
"¿Con la tos se agita, no puede respirar bien y si camina se agita o le falta el aire para respirar?","¿Uhunki hina saykunkichu manachu samayta atinki, purinki hina saykunkichu o samay mana kanchu?"
¿La tos se acompaña de dolor hacia alguna parte de la espalda?,¿Uhunki hina huasaykichu nanasunki?
¿Siente que le ronca o le silba el pecho?,¿Uhunki hina ronkankichu o silvankichu?
¿Tiene agitación por momentos o todo el día?,¿Saik'unki hask'atachu pisillatachu?
"¿Tiene dolor, punzada, cuando tose, camina o respira profundo?",¿Uhunki hina nanasunki o purinki hina?
"Quítese la ropa, le voy a examinar","Ch'utikuy p'achaykita, qhawasaq imaynas kashanki"
¿Se agita cuando camina?,¿Purinki hina ajitakunkichu?
¿Se despierta ahogándose cuando duerme?,¿Rikch'ankichu puñuspa mana samayta atispa?
¿Le duele el pecho cuando camina?,¿Purijtiyki pechoyki nanasunki?
¿Qué hace para que el dolor pase?,¿Imatan ruwanki chay nanay pasanampaq?
"Además de dolor, ¿qué otra cosa siente?",¿Nanaymanta imatan sintinki?
¿Siente que le palpita el pecho?,¿Pechoyki saltakun?
Deme su brazo para ver su presión,Apamuy makiykita presion qhawanaypaq
Le voy a examinar su corazón,Sonqoykita qhawasaq imayna kashan
Respire / no respire / póngase de costado / siéntese,Samay / ama samaychu / teknemanta churakuy / tiyariy
Ponga suelto el abdomen,Wiksaykita ama kuyuchiychu
¿Están sus pies hinchados? ¿En la mañana o en la tarde?,¿Chakiyki punkisqachu kashan? ¿Tutamantachu o ch'isintachu?
Descúbrase la camisa para examinar su corazón,Kichariy camisaykita sonqoyki qhawanapaq
¿Se cansa o se agita cuando camina poca distancia o gran distancia?,¿Purinki hina saykunkichu pisillatachu o mast'atachu?
"¿Siente que su corazón le palpita rápido o por momentos, a veces o siempre o cuando camina?","¿Sonqoyki utqhayta purinchu, wakinta o sapa kuti o purinki hina?"
¿Esa hinchazón ha subido hasta las piernas o la barriga?,¿Chakillaykikama punkisqachu o wiksakama?
¿Siente el abdomen más hinchado cuando come o después de comer?,¿Wiksayki aswan punkin mikuspa o mikusqanmanta qhipa?
¿Alguna vez se ha despertado bruscamente a media noche porque le faltaba aire para respirar o estaba tosiendo o estaba agitado?,¿Rikcharinkichu kuskan tuta mana samayta atispa o uhuspa saykuspa?
¿El dolor en el pecho se ha vuelto permanente?,¿Qhasqo nanayniyki unaymanatañachu nanan?
¿Es algo como que le aprisionaran o apretaran el pecho?,¿Mat'iykusunquimanchu sonqoykita hina mat'ikun?
"Cuando le caen mal los alimentos, ¿le dan ganas de arrojar (vomitar), le viene dolor, siente que se hincha el abdomen? ¿Cuánto tiempo dura esta molestia?","¿Mikuyniyki mana allinchu kashan hina aktupakuyta munankichu, nanay hapisunki, wiksayki punkin? Hayk'a unayta nanan?"
"Si ha tenido dolor en la boca del estómago (epigastrio), ¿este dolor luego se localiza en el lado derecho y es muy intenso?","Wiksay simipi nanasunkichu, chay nanay paña wiksapi sinch'ita nanan?"
¿A los pocos días ese dolor se acompaña de coloración amarilla en los ojos y la piel y hay cambio de color de la orina?,"Pisi p'unchay hinaspa ñawiykik'ello tukunchu, aychaykipis, hisp'aynikipis t'ikran?"
¿Cómo fue su parto? ¿Dónde y quién la ha atendido?,"¿Imaynatam wacharanki, maypitaq pitas qhawarasunki?"
¿Has tenido mucho dolor de cadera?,¿Tekniyki anchata nanasunki?
¿Le ha visto un ginecólogo? ¿Una vez al año? ¿Cuánto tiempo no lo ha visto o nunca lo hizo?,¿Rikusunkichu warmi doctor sapa watapi? Hayk'akmanta mana rikunki o manaraqchu?
Voy a tomarle la presión,Presionniykita qhawasaq imayna kashan
Traiga a su hijo para vacunarlo,Wawaykita vacunanapaq apamuy
"Cada mes debes traer a tu hijo para pesarlo, examinarlo","Wawaykita sapa killa apamunki pesanapaq, qhawanapaq"
Vaya al laboratorio,Laboratorioman puriy
Mañana viene en ayunas,Paqarin hamunki ama mikuspa
Necesita que le operen,Operasunki tiyan
¿Le sacaron radiografía?,¿Radiografiata orqorasunkichu?
Le voy a poner suero,Suerota churasayki
¿Le ajusta la venda?,¿Mat'isunkichu chumpi?
La herida se puede abrir,Heridayki kicharikunman
Se le puede infectar,Q'echakunmanmi
¿Cómo has estado durmiendo últimamente?,¿Imaynan puñurqanki kay qhipa p'unchawpi?
¿Has notado cambios en tu apetito?,¿Ima tikraytachu rikurqanki mikhunaykipaq?
¿Te sientes más cansado de lo normal?,¿As más sayk'usqachu tarikunki sapa kuti kashasqaykimanta?
¿Tienes problemas para concentrarte?,¿Sasachakunkichu yuyayniykiwan?
¿Has tenido dolores de cabeza últimamente?,¿Umayki nanashasunkichu kay qhipa p'unchawpi?
¿Sientes mareos o vértigo?,¿Umay muyuyta sintishanki?
¿Has tenido problemas de visión?,¿Ñawiypi sasachakuykunata charqanki?
¿Tienes dolor de oído?,¿Rinriyki nanashasunkichu?
¿Tienes congestión nasal o secreción nasal?,¿Sinqhayki hunt'asqachu icha yakuyuqchu?
¿Tienes dolor de garganta?,¿Kunkayki nanashasunkichu?
¿Tienes dificultad para tragar?,¿Sasachakunkichu millp'uyta?
¿Has notado cambios en tu voz?,¿Rimayniykipi t'ikrayta rikurqanki?
¿Tienes tos?,¿Uhukushankichu?
¿Tienes dificultad para respirar?,¿Sasachakunkichu samayta?
¿Sientes dolor en el pecho?,¿Qhasqoyki nanashasunkichu?
¿Tienes palpitaciones?,¿Sunquyki phinkiykushanchu?
¿Tienes hinchazón en los tobillos o las piernas?,¿Chakiyki punkishanchu?
¿Tienes dolor de estómago?,¿Wiksayki nanashasunkichu?
¿Tienes náuseas o vómitos?,¿Aqtupakuyta munashankichu?
¿Tienes diarrea o estreñimiento?,¿Iskaychaychu kashanki icha mana iskaychaychu?
¿Has notado sangre en las heces?,¿Yawarta rikurqanki iskaychaynikipi?
¿Tienes dolor al orinar?,¿Hispayta nanashasunkichu?
¿Tienes que orinar con frecuencia?,¿Sapa kuti hispayta munashanki?
¿Has notado cambios en tu orina?,¿Hisp'aynikipi huk tikrayta rikurqanki?
¿Tienes dolor en las articulaciones?,¿Tullukunapi nanayniyuqchu kanki?
¿Tienes rigidez en las articulaciones?,¿Tullukunapi qaqawchu kanki?
¿Tienes dolor muscular?,¿Aychayki nanashasunkichu?
¿Tienes erupciones en la piel?,¿Qaraykipi q'uru kashanchu?
¿Tienes picazón en la piel?,¿Qarayki qaqachakushanchu?
¿Tienes moretones con facilidad?,¿Utqaylla panti tukupunki?
¿Tienes sangrado inusual?,¿Mana sapa kuti yawar lluqsimushanchu?
¿Has perdido peso sin intentarlo?,¿Mana munaspachu llank'ayta pisiyachishanki?
¿Has tenido fiebre?,¿Ruphaqkashankichu
¿Has tenido escalofríos?,¿Chiriywan kashankichu?
¿Tienes sudores nocturnos?,¿Tutapi humpi kashanki?
¿Te sientes deprimido o ansioso?,¿Llakisqa utaq manchakuywan kashanki?
¿Tienes problemas para dormir?,¿Sasachakunkichu puñuyta?
¿Tienes pensamientos suicidas?,¿Wañuyta yuyashankichu?
¿Has tenido convulsiones?,¿Katarqachu kashanki?
¿Has perdido la conciencia?,¿Mana yuyayniyuqchu tarikunki?
¿Tienes problemas de memoria?,¿Yuyaypi sasachakuykunata charqanki?
¿Tienes dificultad para hablar?,¿Rimaypi sasachakuyta charqanki?
¿Tienes debilidad en los brazos o las piernas?,¿Brazo utaq chakipi pisiyarqanki?
¿Tienes entumecimiento en los brazos o las piernas?,¿Brazo utaq chakipi wañuyta charqanki?
¿Tienes temblores?,¿Katikachakushankichu?
¿Tienes problemas de equilibrio?,¿Tinkuykachaypi sasachakuyta charqanki?
¿Has tenido caídas?,¿Urmarqachu kashanki?
¿Tienes llagas que no cicatrizan?,¿Mana allin qhali t'uqyakunata charqanki?
¿Tienes ganglios linfáticos inflamados?,¿Linfakunapi punkikunata charqanki?
¿Has notado algún bulto o masa inusual?,¿Huk mana riqsisqa punkita utaq masata rikurqanki?
"La vida es corta, sonríe mientras aún tienes dientes.","kausayqa pisillas, asikuy kiruyki kanankama."
"No cuentes los días, haz que los días cuenten.","ama p’unchaykunata yupaychu, aspis p’unchaykuna yupachun."
"La felicidad no es un destino, es una forma de vida.","Kusiyqa manas huk tukukuy chayanachu, apis, huk imayna kausaysis."
El éxito es la suma de pequeños esfuerzos repetidos día tras día.,Ima Munasqa hunt’ayqa pisi pisimanta sapa p’unchay kallpachuy yapasqas.
Sé tan bueno que no puedan ignorarte.,Ancha allin kay chaymi mana khawarpariyta atisunkikuchu.
Nunca es tarde para ser quien podrías haber sido.,Manan hayk’aqpis chisianchu imachus kayta munanki chay kanaykipaqqa.
La única forma de hacer un gran trabajo es amar lo que haces.,"Sapan imayna hatun llank’ayta ruanapaqqa, chay llank’anapi ruwayta khuyakuspa."
Cambia tus pensamientos y cambiarás tu mundo.,Yuyaychakuykikunata tikray chaymi kausayniyki tikranqa.
No hagas hoy lo que puedas dejar para mañana si realmente no lo quieres hacer nunca.,"ama kunan ruwaychu imatachus paqarinpaq saqeyta atinki chayqa, sichus anchata mana hayk’aqpis ruwayta munankichu chayqa."
Si podemos.,Ari atinchismi.
Estoy contigo.,Qanwan qashani.
Cree en ti mismo y todo será posible.,qanpi iñiy shaynaqa llapanta atinki.
"No tienes que ser grande para empezar, pero tienes que empezar para ser grande.","k’allaynaykipaqqa Manan hatunchu kanayki, ichaqa k’allaynaykin hatun kanaykipaq."
Una sola fuerza.,Huk kallpalla.
Vivamos felices.,Kusisqa kawisana.
No hay nada imposible.,Manan imapis mana atinaqa kanchu.
¿Qué hay para comer?,¿Ima mihunacha kashan?
¿Qué tienes para saciar mi sed?,¿Ch’akipaq imachan kashan?
¿Qué tienes para beber?,¿Iman kashan uhanapaq?
¿Estás soltero/a?,¿Sapallaykiraqchu kanki?
Estoy soltero/a.,Noq’a sapallayraqmi qani.
El gato apenas.,Yanq’allaña michiqa.
El gallo grande.,Hatun k’ankaqa.
Este día.,Kunan p’unchauqa.
Vaca pequeña.,Waka uña.
Dientes blancos.,Yuraq kirukuna.
Árbol grande.,Hatun mallki.
Despertó antes.,Ñaupaqta riqch’amun.
Habla lindo.,Munayta rimamun.
Trabajamos poco.,Pisita llamq’ayku.
Haremos grande.,Hatunta ruasun.
Limpiemos bien.,Sumaqta pichasun.
Miremos bien.,Allinta qhawasun.
Te amo.,Wayllukuyki.
Buen día.,Allin p’unchay.
Dulces sueños.,Mishq’i puñuny.
Te quiero.,Munakuyki.
Estás en mi corazoncito.,Sonqochaypi kashanki.
Ojos de lucero.,Ch’aska ñawi.
Mujer hermosa.,Munay waymi.
Te quiero más que a nadie.,Mana pita hina munakuyki.
Te quiero más que nadie.,Mana pipis hina munakuyki.
Solo tú.,Qanllapuni.
Quiero estar contigo.,Qanwan kayta munani.
Quisiera estar contigo.,Qanwan kayta munashani.
Te recuerdo a ti.,Qantapuni yuyakuyki.
Te recuerdo solo a ti.,Qanllata yuyakuiki.
La mujer que amo.,Munasqay warmi.
La joven que quiero.,Munasqay sipas.
Flor hermosa.,Munay t’ika.
Yo sueño contigo.,Noqa qanwan ñosqhokuni.
Te esperaré hasta el fin.,Suyasayki tukuykama.
Yo muero por ti.,Qan rayku noqa wañuni.
Lucharé por tu amor.,Maqanakusaq wayllukuyniyki rayku.
Te besaré.,Much’aykusqayki.
Estaré contigo.,Qanwan kasaq.
Hasta la muerte.,Wañunakama.
Hasta que yo muera.,Wañunaykama.
Te iré a buscar.,Mashkamuyniykiq risaq.
Nada nos separará.,Mana imapis t’aqawanachu.
Hasta que mueras.,Wañunaykikama.
"A mí me mataréis, pero mañana volveré y seré millones.","Noqataqa sipiwankischa, ichaqa paqarimi kutimusaq, waranqa warana kapusaq."
Empezad por lo posible; porque lo perfecto está al fin.,"Atikusqanmanta qallayuychis, allinpuniqa tukukuypis kashan."
"Los viejos deben temblar ante los niños, porque la generación que se levanta es siempre acusadora y juez de la generación que desciende.","Machulakunaqa khatatanankun wawakunaq ñaupaqninpi, seqaq wiñay mit’akunaqa, uraypuq wiñay mit’akunatas, allin, mana allin ruasqankuta qhawaqku."
Feliz fiesta del sol.,Sumaq intiraymi p’unchay.
El padre sol nos ilumina con su luz.,Inti tayta k’anchayninwan k’anchariwanchis.
