Columna 1;Columna 2;Columna1
Kay pakikunata chunkayashqa yupakunaman tikrachiy. Mirachiy aypushqa kapuypita huk shuqanta qillqay. Yupakunata ñiqichay, yupana ruraymi qichuyqa. Pichqakuchuqa huk laaya patsatupu siqimi.;Convierte estas fracciones a números decimales. Da un ejemplo de la propiedad distributiva de la multiplicación. Ordena estos números, la resta es una operación matemática. El pentágono es un tipo de figura geométrica.;
Llapa imap sutinmi sutiqa. Qhipa wiñaqkunaqa ayllup chaninkunata chinkachichkanku, hinatam machu runakuna ninku. Yachakuq wawakunapas ayllu ruraykunapiqa yanapakunkum.;El sustantivo es el nombre de todas las cosas. Los ancianos dicen que los jóvenes de ahora están perdiendo los valores comunales. Los niños estudiantes también ayudan en las actividades comunales.;
Yachakuq wawakunapas ayllu ruraykunapiqa yanapakunkum. Kaqninchikkuna yupaychasqa kananpaqqa ñuqanchikpas hukkunap kaqninta yupaychananchikmi. Llapankunami aktaman shutiqillqankunata churayashqa. Qhipa wiñaqkunaqa ayllup chaninkunata chinkachichkanku, hinatam machu runakuna ninku.;Los niños estudiantes también ayudan en las actividades comunales. Para que nuestros derechos sean respetados, nosotros también debemos respetar los derechos de los demás. Todos pusieron su firma en el acta. Los ancianos dicen que los jóvenes de ahora están perdiendo los valores comunales.;
Yachakuqpa siminkuna riqsiyqa mayqan simikunapi llamk'ananchiktam yanapawanchik. Simi qullqapi musuq simikunata maskhaychik. Qillqasqakunaqa allin chanin qillqasqawanmi kananku. Allin kawsaypaq kamachikuyninchikkunata hunt'ananchikmi.;Realizar la caracterización psicolingüística nos ayuda a planificar en qué lengua trabajar. Busquen las palabras nuevas en el diccionario. Los textos tienen que estar escritos con buena ortografía. Tenemos que cumplir con nuestras normas de convivencia.;
Qhali kawsayta tarinanchikpaqqa Pacha Mamanchikwanpas ayllunchikwanpas sumaqtam kawsananchik. Pacha Mama waqaychaytaqa wawanchikkunamanpas yachachinanchikmi. Pacha Mamanchikqa tukuy imatam kawsananchikpaq uywapuwanchik.;Para encontrar una vida saludable debemos vivir en armonía con nuestra Madre Naturaleza y nuestro ayllu. La conservación del ambiente es algo que debemos enseñar a nuestros hijos. Nuestra Madre Tierra se encarga de la crianza de alimentos para nuestra existencia.;
Qayna p'unchawqa muhuta huqarirqanchik, kunantaq uqata tarpusunchik. Pacha Mamataqa ninawan kachaykuspam waqllichinchik. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi. Pacha Mama waqaychaytaqa wawanchikkunamanpas yachachinanchikmi.;Ayer recogimos las semillas, hoy sembraremos ocas. Quemando el entorno estamos generando contaminación ambiental. La fotosíntesis se produce con el calor y los rayos luminosos del sol. La conservación del ambiente es algo que debemos enseñar a nuestros hijos.;
Sapa ayllupim yachaqkunaqa yachayninta riqsichiwanchik. Qichwa runa kawsayqa may chaninmi. Kaqninchikkuna yupaychasqa kananpaqqa ñuqanchikpas hukkunap kaqninta yupaychananchikmi. Llapankunami aktaman shutiqillqankunata churayashqa.;En cada comunidad los sabios nos dan a conocer sus saberes. La cultura del pueblo quechua es muy valiosa. Para que nuestros derechos sean respetados, nosotros también debemos respetar los derechos de los demás. Todos pusieron su firma en el acta.;
Qayna p'unchawqa muhuta huqarirqanchik, kunantaq uqata tarpusunchik. Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan. Parapas, chikchipas, muyuq wayrapas Pacha Mamap kawsayninmi kanku.;Ayer recogimos las semillas, hoy sembraremos ocas. En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo. Son fenómenos naturales la lluvia, la granizada y los huracanes.;
Pacha Mama waqaychaytaqa wawanchikkunamanpas yachachinanchikmi. Pacha Mamataqa ninawan kachaykuspam waqllichinchik. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi. Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan.;La conservación del ambiente es algo que debemos enseñar a nuestros hijos. Quemando el entorno estamos generando contaminación ambiental. La fotosíntesis se produce con el calor y los rayos luminosos del sol. En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo.;
Aypuqqa manami chusaq kanmantsu. Mirachiy aypushqa kapuypita huk shuqanta qillqay. Yupakunaqa ushanannaqmi kayan. Ishkay chimpashqa pakipa yapanqa chusaqmi.;El divisor no puede ser cero. Da un ejemplo de la propiedad distributiva de la multiplicación. Los números son infinitos. La suma de dos fracciones opuestas es cero.;
Hukllachasqa qillqayqa allinmi huk niraqllata qillqanapaq. Allin kawsaypaq kamachikuyninchikkunata hunt'ananchikmi. Qichwapi simi patmap kaqninqa manam huk rikch'aqllachu. Qillqasqa paqarichiyqa Llapan Willanakuypa huk kaq atiyninmi.;La normalización de la escritura es buena para escribir de una sola manera. Tenemos que cumplir con nuestras normas de convivencia. En el quechua la estructura de la sílaba no es de una sola clase. La producción de textos es una competencia del área de Comunicación.;
Qhali kawsayta tarinanchikpaqqa Pacha Mamanchikwanpas ayllunchikwanpas sumaqtam kawsananchik. Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin. Usya killakunachawqa chaqchuqllawanmi mallkikunata parqunchik. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi.;Para encontrar una vida saludable debemos vivir en armonía con nuestra Madre Naturaleza y nuestro ayllu. Los elementos del mundo no quedan estáticos, todo está en evolución. En los meses secos regamos las plantas con el aspersor. La fotosíntesis se produce con el calor y los rayos luminosos del sol.;
Qichwa simipi simikunaqa rimanakunapas sutikunapas pisi simikunapas kankumanmi. Yachachiqqa ancha yachayninta yachakuqkunaman mirarichinanmi. Yachakuqkunaqa runa simipi allintam ñawinchachkanku.;Las palabras en quechua pueden ser verbos, nombres o partículas. El profesor debe transmitir sus saberes a los estudiantes. Los estudiantes están leyendo muy bien en quechua.;
Pacha Mama waqaychaytaqa wawanchikkunamanpas yachachinanchikmi. Parapas, chikchipas, muyuq wayrapas Pacha Mamap kawsayninmi kanku. Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin. Pacha Mamanchikqa tukuy imatam kawsananchikpaq uywapuwanchik.;La conservación del ambiente es algo que debemos enseñar a nuestros hijos. Son fenómenos naturales la lluvia, la granizada y los huracanes. Los elementos del mundo no quedan estáticos, todo está en evolución. Nuestra Madre Tierra se encarga de la crianza de alimentos para nuestra existencia.;
Alli chakra-aruqqa shumaq killata rikarkur imatapis rurayta qallaykun. Chakranchikkunapiqa ñawra kawsaykunatam uywananchik. Pacha Mamanchikqa tukuy imatam kawsananchikpaq uywapuwanchik. Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin.;Un buen agricultor observa bien la luna antes de empezar a hacer algo. En nuestras chacras debemos criar diversidad de alimentos. Nuestra Madre Tierra se encarga de la crianza de alimentos para nuestra existencia. Los elementos del mundo no quedan estáticos, todo está en evolución.;
Yachakuq wawakunapas ayllu ruraykunapiqa yanapakunkum. Sapa ayllupim yachaqkunaqa yachayninta riqsichiwanchik. Llaqtakunaqa kawsayninchikmanhina ari t'aqanakunchikpas, sutiyanakunchikpas. Mirkapanchikta taqay wakcha runakunata yawachishun.;Los niños estudiantes también ayudan en las actividades comunales. En cada comunidad los sabios nos dan a conocer sus saberes. Las sociedades, así como los hombres, nos dividimos y nos damos un nombre. Compartamos nuestro refrigerio con aquellas personas pobres.;
Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan. Pacha Mamanchikqa tukuy imatam kawsananchikpaq uywapuwanchik. Pacha Mama waqaychaytaqa wawanchikkunamanpas yachachinanchikmi. Alli chakra-aruqqa shumaq killata rikarkur imatapis rurayta qallaykun.;En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo. Nuestra Madre Tierra se encarga de la crianza de alimentos para nuestra existencia. La conservación del ambiente es algo que debemos enseñar a nuestros hijos. Un buen agricultor observa bien la luna antes de empezar a hacer algo.;
Kaqninchikkuna yupaychasqa kananpaqqa ñuqanchikpas hukkunap kaqninta yupaychananchikmi. Qhipa wiñaqkunaqa ayllup chaninkunata chinkachichkanku, hinatam machu runakuna ninku. Llapa imap sutinmi sutiqa.;Para que nuestros derechos sean respetados, nosotros también debemos respetar los derechos de los demás. Los ancianos dicen que los jóvenes de ahora están perdiendo los valores comunales. El sustantivo es el nombre de todas las cosas.;
Chuskukuchu pampaqa imapaqtaq. Mirachiy aypushqa kapuypita huk shuqanta qillqay. Ishkay chimpashqa pakipa yapanqa chusaqmi. Pichqakuchuqa huk laaya patsatupu siqimi.;¿Para qué nos sirve el plano cartesiano? Da un ejemplo de la propiedad distributiva de la multiplicación. La suma de dos fracciones opuestas es cero. El pentágono es un tipo de figura geométrica.;
Mirkapanchikta taqay wakcha runakunata yawachishun. Llaqtakunaqa kawsayninchikmanhina ari t'aqanakunchikpas, sutiyanakunchikpas. Llapa imap sutinmi sutiqa. Llapankunami aktaman shutiqillqankunata churayashqa.;Compartamos nuestro refrigerio con aquellas personas pobres. Las sociedades, así como los hombres, nos dividimos y nos damos un nombre. El sustantivo es el nombre de todas las cosas. Todos pusieron su firma en el acta.;
Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin. Usya killakunachawqa chaqchuqllawanmi mallkikunata parqunchik. Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan. Parapas, chikchipas, muyuq wayrapas Pacha Mamap kawsayninmi kanku.;Los elementos del mundo no quedan estáticos, todo está en evolución. En los meses secos regamos las plantas con el aspersor. En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo. Son fenómenos naturales la lluvia, la granizada y los huracanes.;
Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan. Pacha Mamataqa ninawan kachaykuspam waqllichinchik. Qayna p'unchawqa muhuta huqarirqanchik, kunantaq uqata tarpusunchik. Qhali kawsayta tarinanchikpaqqa Pacha Mamanchikwanpas ayllunchikwanpas sumaqtam kawsananchik.;En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo. Quemando el entorno estamos generando contaminación ambiental. Ayer recogimos las semillas, hoy sembraremos ocas. Para encontrar una vida saludable debemos vivir en armonía con nuestra Madre Naturaleza y nuestro ayllu.;
Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan. Usya killakunachawqa chaqchuqllawanmi mallkikunata parqunchik. Pacha Mama waqaychaytaqa wawanchikkunamanpas yachachinanchikmi. Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi.;En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo. En los meses secos regamos las plantas con el aspersor. La conservación del ambiente es algo que debemos enseñar a nuestros hijos. La fotosíntesis se produce con el calor y los rayos luminosos del sol.;
Usya killakunachawqa chaqchuqllawanmi mallkikunata parqunchik. Parapas, chikchipas, muyuq wayrapas Pacha Mamap kawsayninmi kanku. Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin.;En los meses secos regamos las plantas con el aspersor. Son fenómenos naturales la lluvia, la granizada y los huracanes. Los elementos del mundo no quedan estáticos, todo está en evolución.;
Mirkapanchikta taqay wakcha runakunata yawachishun. Qhipa wiñaqkunaqa ayllup chaninkunata chinkachichkanku, hinatam machu runakuna ninku. Qichwa runa kawsayqa may chaninmi.;Compartamos nuestro refrigerio con aquellas personas pobres. Los ancianos dicen que los jóvenes de ahora están perdiendo los valores comunales. La cultura del pueblo quechua es muy valiosa.;
Wach'i q'umiryayqa intip k'anchayninwanpas q'uñiyninwanpas kamakunmi. Qhali kawsayta tarinanchikpaqqa Pacha Mamanchikwanpas ayllunchikwanpas sumaqtam kawsananchik. Alli chakra-aruqqa shumaq killata rikarkur imatapis rurayta qallaykun.;La fotosíntesis se produce con el calor y los rayos luminosos del sol. Para encontrar una vida saludable debemos vivir en armonía con nuestra Madre Naturaleza y nuestro ayllu. Un buen agricultor observa bien la luna antes de empezar a hacer algo.;
Anti markanchikkunachawqa imayka laaya papakunatami unay patsakunapita muruyan. Tiqsi muyup tukuy imanpas manam kakllachu qhipan, llapanmi ñawparin. Usya killakunachawqa chaqchuqllawanmi mallkikunata parqunchik.;En los pueblos andinos siembran diferentes especies de papa desde hace mucho tiempo. Los elementos del mundo no quedan estáticos, todo está en evolución. En los meses secos regamos las plantas con el aspersor.;
Pichqakuchuqa huk laaya patsatupu siqimi. Yupakunata ñiqichay, yupana ruraymi qichuyqa. Mirachiy aypushqa kapuypita huk shuqanta qillqay. Chiqanakuna tiqichaw pakayupata ashiy.;El pentágono es un tipo de figura geométrica. Ordena estos números, la resta es una operación matemática. Da un ejemplo de la propiedad distributiva de la multiplicación. Ubica la ecuación en el gráfico de rectas.;
Aypuqqa manami chusaq kanmantsu. Yupakunata ñiqichay, yupana ruraymi qichuyqa. Yupanaqa shumaqmi, yupakamayuqqa ruranallami. Pichqakuchuqa huk laaya patsatupu siqimi.;El divisor no puede ser cero. Ordena estos números, la resta es una operación matemática. Las matemáticas son divertidas, la aritmética es muy fácil. El pentágono es un tipo de figura geométrica.;
